Serial,DC Number,Party Name,Party Place,Party Taluka,Party District,Crop,Variety,Packet,Date,Transport,LR Number,Freight
84,MRN-57,balaji krushi seva kendra,Vaijapur,Vaijapur,Aurangabad,Cotton,Super-931,20,7/28/2022,,,
85,MRN-57,balaji krushi seva kendra,Vaijapur,Vaijapur,Aurangabad,Bajra,Super-78,18,7/28/2022,,,
86,MRN-58,Shree Agro Krushi Udyog-Pimpalgaon,Pimpalgon,Sillod,Aurangabad,Cotton,Super-971,2,7/28/2022,,,
87,MRN-58,Shree Agro Krushi Udyog-Pimpalgaon,Pimpalgon,Sillod,Aurangabad,Cotton,Super-931,1,7/28/2022,,,
88,MRN-59,Baldevdas Beej Bhandar,Sillod,AURANGABAD,AURANGABAD,Cotton,Super-931,28,7/28/2022,,,
89,MRN-60,Shiv Krupa KSK,Vaijapur,Vaijapur,Aurangbad,Cotton,Super-971,80,7/28/2022,,,
90,MRN-61,Trimurti KSK,Bigibosar,Vaijapur,Aurangabad,Cotton,Super-971,39,7/28/2022,,,
91,MRN-61,Trimurti KSK,Bigibosar,Vaijapur,Aurangabad,Cotton,Super-931,14,7/28/2022,,,
92,MRN-62,Gayatri Agro Agencies,Parola,Parola,Jalgaon,Cotton,Super-971,6,7/28/2022,,,
93,MRN-63,Aditya Agro Agencies,Amravati,Amaravati,Amravati,Cotton,Super-971,132,7/29/2022,,,
94,MRN-63,Aditya Agro Agencies,Amravati,Amaravati,Amravati,Cotton,Super-931,226,7/29/2022,,,
95,MRN-04,Adinath traders-Goregaon,Goregaon,Gondia,Gondia,Paddy,Devika,2,7/14/2022,,,
96,MRN-04,Adinath traders-Goregaon,Goregaon,Gondia,Gondia,Paddy,Gitanjali,104,7/14/2022,,,
97,MRN-04,Adinath traders-Goregaon,Goregaon,Gondia,Gondia,Paddy,Priyanka,275,7/14/2022,,,
98,MRN-05,Deshmukh Krushi Kendra-Digori,Digori,Lakhadur,Bhandara,Paddy,Gitanjali,322,7/14/2022,,,
99,MRN-05,Deshmukh Krushi Kendra-Digori,Digori,Lakhadur,Bhandara,Paddy,Puja,31,7/14/2022,,,
100,MRN-05,Deshmukh Krushi Kendra-Digori,Digori,Lakhadur,Bhandara,Paddy,Priyanka,303,7/14/2022,,,
101,MRN-07,Adinath traders-Goregaon,Goregaon,Gondia,Gondia,Paddy,Gitanjali,9,7/15/2022,,,
102,MRN-07,Adinath traders-Goregaon,Goregaon,Gondia,Gondia,Paddy,Devika,15,7/15/2022,,,
103,MRN-10,Sachin Agro Agency-Arjuni Morgaon,Arjuni Morgaon,Arjuni Morgaon,Gondia,Paddy,Gitanjali,207,7/17/2022,,,
104,MRN-10,Sachin Agro Agency-Arjuni Morgaon,Arjuni Morgaon,Arjuni Morgaon,Gondia,Paddy,Priyanka,53,7/17/2022,,,
105,MRN-12,Bhujade Krushi Kendra-Mohadi,Mohadi,Mohadi,Bhandara,Paddy,Devika,52,7/18/2022,,,
106,MRN-12,Bhujade Krushi Kendra-Mohadi,Mohadi,Mohadi,Bhandara,Paddy,Priyanka,19,7/18/2022,,,
107,MRN-12,Bhujade Krushi Kendra-Mohadi,Mohadi,Mohadi,Bhandara,Paddy,Anjali,27,7/18/2022,,,
108,MRN-13,Gurumauli Krushi Seva Kendra-Virli,Virli,Lakhandur,Bhandara,Paddy,Anjali,85,7/19/2022,,,
109,MRN-14,Gurumauli Krushi Seva Kendra-Virli,Virli,Lakhandur,Bhandara,Paddy,Gitanjali,91,7/19/2022,,,
110,MRN-13,Gurumauli Krushi Seva Kendra-Virli,Virli,Lakhandur,Bhandara,Paddy,Priyanka,92,7/19/2022,,,
111,MRN-13,Gurumauli Krushi Seva Kendra-Virli,Virli,Lakhandur,Bhandara,Paddy,Puja,15,7/19/2022,,,
112,MRN-44,Manish Fertilizers,Nawargaon,Sindhewahi,Chandrapur,Paddy,Gitanjali,49,7/25/2022,,,
113,MRN-44,Manish Fertilizers,Nawargaon,Sindhewahi,Chandrapur,Paddy,Priyanka,10,7/25/2022,,,
114,MRN-44,Manish Fertilizers,Nawargaon,Sindhewahi,Chandrapur,Paddy,Devika,2,7/25/2022,,,
115,MRN-44,Manish Fertilizers,Nawargaon,Sindhewahi,Chandrapur,Paddy,Puja,15,7/25/2022,,,
116,MRN-45,Jai Bharat Krushi Kendra-Ganeshpur,Ganeshpur,Bhandara,Bhandara,Paddy,Gitanjali,205,7/26/2022,,,
117,MRN-45,Jai Bharat Krushi Kendra-Ganeshpur,Ganeshpur,Bhandara,Bhandara,Paddy,Priyanka,232,7/25/2022,,,
118,MRN-47,Nitin Marketing Services-Bhabdara,Bhandara,Bhandara,Bhandara,Paddy,Devika,160,7/26/2022,,,
119,MRN-47,Nitin Marketing Services-Bhabdara,Bhandara,Bhandara,Bhandara,Paddy,Priyanka,390,7/26/2022,,,
120,MRN-47,Nitin Marketing Services-Bhabdara,Bhandara,Bhandara,Bhandara,Paddy,Puja,75,7/26/2022,,,
121,MRN-47,Nitin Marketing Services-Bhabdara,Bhandara,Bhandara,Bhandara,Paddy,Gitanjali,485,7/26/2022,,,
122,MRN-48,Jay Gurudev Krushi Kendra-Tumsar,Tumsar,Bhandara,Bhandara,Paddy,Gitanjali,158,7/27/2022,,,
123,MRN-48,Jay Gurudev Krushi Kendra-Tumsar,Tumsar,Bhandara,Bhandara,Paddy,Priyanka,110,7/26/2022,,,
124,MRN-48,Jay Gurudev Krushi Kendra-Tumsar,Tumsar,Bhandara,Bhandara,Paddy,Devika,65,7/26/2022,,,
125,MRN-48,Jay Gurudev Krushi Kendra-Tumsar,Tumsar,Bhandara,Bhandara,Paddy,Anjali,6,7/26/2022,,,
126,MRN-52,Saurabh Krushi Kendra-Lakhani,Lakhani,Bhandara,Bhandara,Paddy,Priyanka,83,7/27/2022,,,
127,MRN-52,Saurabh Krushi Kendra-Lakhani,Lakhani,Bhandara,Bhandara,Paddy,Gitanjali,40,7/27/2022,,,
128,MRN-53,Girhepunje Krushi Kendra-Lakhani,Lakhani,Bhandara,Bhandara,Paddy,Anjali,7,7/27/2022,,,
129,MRN-55,Vairagade Agro Agency-Konda/Kosra,Konda/Kosra,Pawni,Bhandara,Paddy,Gitanjali,25,7/27/2022,,,
130,MRN-55,Vairagade Agro Agency-Konda/Kosra,Konda/Kosra,Pawni,Bhandara,Paddy,Priyanka,220,7/27/2022,,,
131,MRN-55,Vairagade Agro Agency-Konda/Kosra,Konda/Kosra,Pawni,Bhandara,Paddy,Puja,30,7/27/2022,,,
132,MRN-56,Jay Gurudev Krushi Kendra-Tumsar,Tumsar,Bhandara,Bhandara,Paddy,Devika,36,7/28/2022,,,
133,MRN-56,Jay Gurudev Krushi Kendra-Tumsar,Tumsar,Bhandara,Bhandara,Paddy,Priyanka,32,7/28/2022,,,
134,MRN-56,Jay Gurudev Krushi Kendra-Tumsar,Tumsar,Bhandara,Bhandara,Paddy,Gitanjali,1,7/28/2022,,,
135,MRN-56,Jay Gurudev Krushi Kendra-Tumsar,Tumsar,Bhandara,Bhandara,Paddy,Anjali,10,7/28/2022,,,
136,MRN-64,Vijay Krushi Kendra-Nakadogri,Nakadogri,Gondia,Gondia,Paddy,Gitanjali,160,7/29/2022,,,
137,MRN-65,Koushal Agro Krushi Kendra,Gadchiroli,Gadchiroli,Gadchiroli,Paddy,Priyanka,126,7/29/2022,,,
138,MRN-65,Koushal Agro Krushi Kendra,Gadchiroli,Gadchiroli,Gadchiroli,Paddy,Gitanjali,245,7/29/2022,,,
139,MRN-66,Lothe Krushi Kendra-Barwah,Barwah,Lakhadur,Bhandara,Paddy,Gitanjali,39,7/29/2022,,,
140,MRN-66,Lothe Krushi Kendra-Barwah,Barwah,Lakhadur,Bhandara,Paddy,Devika,42,7/29/2022,,,
141,MRN-66,Lothe Krushi Kendra-Barwah,Barwah,Lakhadur,Bhandara,Paddy,Priyanka,36,7/29/2022,,,
142,MRN-66,Lothe Krushi Kendra-Barwah,Barwah,Lakhadur,Bhandara,Paddy,Anjali,52,7/29/2022,,,
143,MRN-67,Deshmukh Krushi Kendra-Digori,Digori,Lakhadur,Bhandara,Paddy,Devika,141,7/29/2022,,,
144,MRN-68,Omkar Krushi Kendra-Virshee,Virshee,Sakoli,Bhandara,Paddy,Priyanka,180,7/29/2022,,,
145,MRN-68,Omkar Krushi Kendra-Virshee,Virshee,Sakoli,Bhandara,Paddy,Gitanjali,170,7/29/2022,,,
146,MRN-68,Omkar Krushi Kendra-Virshee,Virshee,Sakoli,Bhandara,Paddy,Devika,40,7/29/2022,,,
147,MRN-69,Shetkari Krushi Kendra-Sandak Arjuni,Sandak Arjuni,Gondia,Gondia,Paddy,Devika,162,7/29/2022,,,
148,MRN-69,Shetkari Krushi Kendra-Sandak Arjuni,Sandak Arjuni,Gondia,Gondia,Paddy,Gitanjali,361,7/29/2022,,,
149,MRN-69,Shetkari Krushi Kendra-Sandak Arjuni,Sandak Arjuni,Gondia,Gondia,Paddy,Priyanka,278,7/29/202,,,
150,MRN-70,Laxmi Agro Agency,Nagpur,Nagpur,Nagpur,Cotton,Super-971,246,7/31/2022,,,
151,MRN-70,Laxmi Agro Agency,Nagpur,Nagpur,Nagpur,Cotton,Super-931,213,7/31/2022,,,
152,MRN-71,Kisan Krushi Seva kendra,Ahmednagar,Ahmednagar,Ahmednagar,Cotton,Super-971,117,7/31/2022,,,
153,MRN-71,Kisan Krushi Seva kendra,Ahmednagar,Ahmednagar,Ahmednagar,Cotton,Super-931,30,7/31/2022,,,
154,MRN-71,Kisan Krushi Seva kendra,Ahmednagar,Ahmednagar,Ahmednagar,Green Gram,Manika,56,7/31/2022,,,
155,MRN-72,Shri Sai Krushi Seva Kendra,Kannad,Aurangbad,Aurangabad,Maize,Super-777,48,7/31/2022,,,
156,MRN-72,Shri Sai Krushi Seva Kendra,Kannad,Aurangbad,Aurangabad,Maize,Super-1177,22,7/31/2022,,,
157,MRN-73,Shree Agro Agency,Chopda,Chopda,Jalgaon,Cotton,Super-971,249,7/31/2022,,,
158,MRN-73,Shree Agro Agency,Chopda,Chopda,Jalgaon,Cotton,Super-931,150,7/31/2022,,,
159,MRN-73,Shree Agro Agency,Chopda,Chopda,Jalgaon,Green Gram,Manika,79,7/31/2022,,,
160,MRN-74,Vijay Krushi Kendra-Nakadogri,Nakadogri,Gondia,Gondia,Paddy,Gitanjali,108,7/31/2022,,,
161,MRN-74,Vijay Krushi Kendra-Nakadogri,Nakadogri,Gondia,Gondia,Paddy,Priyanka,111,7/31/2022,,,
162,MRN-74,Vijay Krushi Kendra-Nakadogri,Nakadogri,Gondia,Gondia,Paddy,Devika,8,7/31/2022,,,
163,MRN-74,Vijay Krushi Kendra-Nakadogri,Nakadogri,Gondia,Gondia,Paddy,Anjali,109,7/31/2022,,,
164,MRN-75,Vairagade Agro Agency-Konda/Kosra,Konda/Kosra,Pawni,Bhandara,Paddy,Devika,28,7/31/2022,,,
165,MRN-75,Vairagade Agro Agency-Konda/Kosra,Konda/Kosra,Pawni,Bhandara,Paddy,Gitanjali,15,7/31/2022,,,
166,MRN-75,Vairagade Agro Agency-Konda/Kosra,Konda/Kosra,Pawni,Bhandara,Paddy,Puja,46,7/31/2022,,,
167,MRN-75,Vairagade Agro Agency-Konda/Kosra,Konda/Kosra,Pawni,Bhandara,Paddy,Priyanka,6,7/31/2022,,,
168,MRN-76,shree seeds,Wardha,Wardha,Wardha,Cotton,Super-971,20,8/2/2022,,,
169,MRN-76,shree seeds,Wardha,Wardha,Wardha,Cotton,Super-931,57,8/2/2022,,,
170,MRN-77,Shree Laxmi Agro Agencies,Phulambri,Aurangabad,Aurangabad,Cotton,Super-971,60,8/4/2022,,,
171,MRN-77,Shree Laxmi Agro Agencies,Phulambri,Aurangabad,Aurangabad,Cotton,Super-931,30,8/5/2022,,,
172,MRN-78,Sudarshan Agro Agencies,Nagardeola,Chopda,Jalgaon,Cotton,Super-971,94,8/4/2022,,,
173,MRN-78,Sudarshan Agro Agencies,Nagardeola,Chopda,Jalgaon,Cotton,Super-931,113,8/4/2022,,,
174,MRN-79,Shetkari Mitra,Wardha,Wardha,Wardha,Cotton,Super-971,677,8/5/2022,,,
175,MRN-79,Shetkari Mitra,Wardha,Wardha,Wardha,Cotton,Super-931,684,8/5/2022,,,
176,MRN-80,Shree Agencies,Kangaon,Hinganghat,Wardha,Cotton,Super-931,45,8/5/2022,,,
177,MRN-81,Jay Laxmi Krushi Kendra,Shekapur,Shekapur,Wardha,Cotton,Super-971,27,8/5/2022,,,
178,MRN-81,Jay Laxmi Krushi Kendra,Shekapur,Shekapur,Wardha,Cotton,Super-931,4,8/5/2022,,,
179,MRN-82,Uday Trading Company-Parola,Parola,Dhule,Dhule,Green Gram,Manika,171,8/5/2022,,,
180,MRN-83,Pravin Hardware&General Stores,Kasoda,Erandol,Jalgaon,Cotton,Super-971,1,8/5/2022,,,
181,MRN-84,Gayatri Agro Agencies,Parola,Parola,Jalgaon,Cotton,Super-971,172,8/9/2022,,,
182,MRN-84,Gayatri Agro Agencies,Parola,Parola,Jalgaon,Cotton,Super-931,158,8/9/2022,,,
